2024-05-23 21:30:50,761 INFO    StreamThr :910 [internal.py:wandb_internal():85] W&B internal server running at pid: 910, started at: 2024-05-23 21:30:50.759336
2024-05-23 21:30:50,764 DEBUG   HandlerThread:910 [handler.py:handle_request():158] handle_request: status
2024-05-23 21:30:50,769 INFO    WriterThread:910 [datastore.py:open_for_write():87] open: /content/drive/MyDrive/UM_Thesis/MTS_Co_Clustering/TGAN/wandb/run-20240523_213050-4l4m475o/run-4l4m475o.wandb
2024-05-23 21:30:50,771 DEBUG   SenderThread:910 [sender.py:send():378] send: header
2024-05-23 21:30:50,804 DEBUG   SenderThread:910 [sender.py:send():378] send: run
2024-05-23 21:30:51,133 INFO    SenderThread:910 [dir_watcher.py:__init__():211] watching files in: /content/drive/MyDrive/UM_Thesis/MTS_Co_Clustering/TGAN/wandb/run-20240523_213050-4l4m475o/files
2024-05-23 21:30:51,133 INFO    SenderThread:910 [sender.py:_start_run_threads():1123] run started: 4l4m475o with start time 1716499850.759563
2024-05-23 21:30:51,154 DEBUG   HandlerThread:910 [handler.py:handle_request():158] handle_request: check_version
2024-05-23 21:30:51,155 DEBUG   SenderThread:910 [sender.py:send_request():405] send_request: check_version
2024-05-23 21:30:51,277 DEBUG   HandlerThread:910 [handler.py:handle_request():158] handle_request: run_start
2024-05-23 21:30:51,277 DEBUG   HandlerThread:910 [system_info.py:__init__():26] System info init
2024-05-23 21:30:51,278 DEBUG   HandlerThread:910 [system_info.py:__init__():41] System info init done
2024-05-23 21:30:51,278 INFO    HandlerThread:910 [system_monitor.py:start():194] Starting system monitor
2024-05-23 21:30:51,278 INFO    SystemMonitor:910 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-23 21:30:51,278 INFO    HandlerThread:910 [system_monitor.py:probe():214] Collecting system info
2024-05-23 21:30:51,279 INFO    SystemMonitor:910 [interfaces.py:start():188] Started cpu monitoring
2024-05-23 21:30:51,280 INFO    SystemMonitor:910 [interfaces.py:start():188] Started disk monitoring
2024-05-23 21:30:51,280 INFO    SystemMonitor:910 [interfaces.py:start():188] Started gpu monitoring
2024-05-23 21:30:51,281 INFO    SystemMonitor:910 [interfaces.py:start():188] Started memory monitoring
2024-05-23 21:30:51,282 INFO    SystemMonitor:910 [interfaces.py:start():188] Started network monitoring
2024-05-23 21:30:51,286 DEBUG   HandlerThread:910 [system_info.py:probe():150] Probing system
2024-05-23 21:30:51,290 DEBUG   HandlerThread:910 [system_info.py:_probe_git():135] Probing git
2024-05-23 21:30:51,328 DEBUG   HandlerThread:910 [system_info.py:_probe_git():143] Probing git done
2024-05-23 21:30:51,328 DEBUG   HandlerThread:910 [system_info.py:probe():198] Probing system done
