feature_index,ks_stat,p_value
Sad,0.16481481481481486,7.569228745325286e-257
Guilty,0.18282407407407408,2.1581579e-316
Happy,0.1541203703703704,1.7675320838958533e-224
Hopeless,0.16125,8.228860192465654e-246
Anxious,0.1953240740740741,0.0
Stressed,0.0797222222222222,3.7494675727365694e-60
Overwhelmed,0.28476851851851853,0.0
Angry,0.23319444444444448,0.0
Calm,0.20680555555555558,0.0
Energetic,0.08833333333333337,8.983860328171285e-74
Lonely,0.18004629629629632,8.558039042148564e-307
In pain,0.1993518518518519,0.0
Dizzy,0.13749999999999996,1.4351909382354392e-178
Nauseous,0.14833333333333332,6.887370353843027e-208
Racing Heart,0.1377314814814815,3.581693581659386e-179
Look forward completing tasks,0.2093981481481481,0.0
Satisfied with myself,0.2721759259259259,0.0
Satisfied with my physical appearance,0.2759259259259259,0.0
Enjoying moment,0.1999537037037037,0.0
In control,0.29166666666666663,0.0
Concentrated,0.2578703703703704,0.0
Worried,0.08402777777777776,8.694913010691267e-67
WrongDoing,0.30486111111111114,0.0
Impulsivity,0.17361111111111105,3.868066282274937e-285
