feature_index,ks_stat,p_value
Sad,0.14749999999999996,1.4919673052435076e-205
Guilty,0.20472222222222225,0.0
Happy,0.4893055555555555,0.0
Hopeless,0.10291666666666666,4.769483838216148e-100
Anxious,0.1278240740740741,2.7126854970533602e-154
Stressed,0.1747685185185185,5.6553937186070485e-289
Overwhelmed,0.1169444444444444,3.851306125276453e-129
Angry,0.10898148148148146,3.637268277302965e-112
Calm,0.5613888888888889,0.0
Energetic,0.40967592592592594,0.0
Lonely,0.12856481481481474,4.3497090303881816e-156
In pain,0.07912037037037034,2.974755217638552e-59
Dizzy,0.14800925925925923,5.597294909003918e-207
Nauseous,0.1371296296296296,1.3160689547214537e-177
Racing Heart,0.1875,0.0
Look forward completing tasks,0.5202314814814815,0.0
Satisfied with myself,0.580787037037037,0.0
Satisfied with my physical appearance,0.5551851851851852,0.0
Enjoying moment,0.436712962962963,0.0
In control,0.5702777777777778,0.0
Concentrated,0.45125000000000004,0.0
Worried,0.13944444444444448,1.1511975435537765e-183
WrongDoing,0.5745370370370371,0.0
Impulsivity,0.10851851851851846,3.239620990509295e-111
